ID;Name;First_name;Last_name;Birthdate;Age;Age_int;Age_years;Residence_municipality;Residence_Province;Gender;Marital_status;Educational_attainment;Workforce;Professional_segment;Nr_missing_values;Contract_length
11;Luuk van Dijk;Luuk;van Dijk;7-7-1984;34,66272646;34;34 jaar;Etten-Leur;Noord-Brabant;;;;;;4;0,12
12;Joost van der Ham;Joost;van der Ham;29-11-1978;40,26853482;40;40 jaar;Rotterdam;Zuid-Holland;man;Gehuwd;Mbo4;;;1;1,6
13;Romy van Dijk;Romy;van Dijk;16-12-1931;87,25549184;87;87 jaar;Midden-Delfland;Zuid-Holland;;;;;;4;1,64
14;Paul  Brink;Paul;Brink;24-1-1966;53,12408719;53;53 jaar;Veenendaal;Utrecht;man;Gescheiden;Hbo-, wo-master, doctor;1;122 Hulpkrachten transport en logistiek;0;8,91
15;Noa  Smulders;Noa;Smulders;14-12-1995;23,21858055;23;23 jaar;Nieuwegein;Utrecht;vrouw;Ongehuwd;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;0,49
16;Christa  Bouwman;Christa;Bouwman;17-11-1955;63,31804863;63;63 jaar;Lingewaard;Gelderland;vrouw;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;1;033 Verkopers;0;6,98
17;Pleun de Kort;Pleun;de Kort;16-11-1928;90,33866855;90;90 jaar;Rhenen;Utrecht;;;;;;4;2,94
18;Ryan  Scholman;Ryan;Scholman;31-7-1988;30,59303088;30;30 jaar;Barneveld;Gelderland;anders;Ongehuwd;Hbo-, wo-master, doctor;1;112 Schoonmakers en keukenhulpen;0;4,69
19;Nermin  Looije;Nermin;Looije;6-11-1993;25,32315017;25;25 jaar;Sittard-Geleen;Limburg;man;Ongehuwd;Hbo-, wo-bachelor;1;122 Hulpkrachten transport en logistiek;0;6,75
20;Florine  Jansen;Florine;Jansen;16-10-1966;52,39793437;52;52 jaar;Den Helder;Noord-Holland;;;;;;4;1,01
21;Joyce  Huiberts;Joyce;Huiberts;24-11-1967;51,29217616;51;51 jaar;Laren (NH.);Noord-Holland;;;;;;4;0,47
22;Sebas  Geraets;Sebas;Geraets;19-5-1960;58,81156104;58;58 jaar;Delft;Zuid-Holland;man;Gehuwd;Vmbo-b/k, mbo1;1;072 Vakspecialisten natuur en techniek;0;2,46
23;Sanne  Mussche;Sanne;Mussche;2-7-1941;77,70427192;77;77 jaar;Weert;Limburg;vrouw;Gehuwd;Basisonderwijs;;;1;3,06
24;Mylan van Os;Mylan;van Os;20-9-1988;30,45434426;30;30 jaar;Dantumadiel;Friesland;;;;;;4;0,01
25;Bilal  Drijfhout;Bilal;Drijfhout;14-2-1955;64,07618427;64;64 jaar;Zoetermeer;Zuid-Holland;;;;;;4;7,65
26;Marnix van Putten;Marnix;van Putten;14-3-1943;76,00592343;76;76 jaar;Hellendoorn;Overijssel;man;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;2,93
27;Yorick  Stomphorst;Yorick;Stomphorst;7-7-1979;39,66759507;39;39 jaar;Borsele;Zeeland;;;Mbo4;1;033 Verkopers;2;21,61
28;Damiën  Stevens;Damiën;Stevens;19-2-1932;87,07767777;87;87 jaar;Breda;Noord-Brabant;man;Gehuwd;Mbo2 en mbo3;0;;0;1,84
29;Bernice  Verhoeven;Bernice;Verhoeven;1-5-1964;54,85799772;54;54 jaar;De Ronde Venen;Utrecht;vrouw;Gehuwd;Hbo-, wo-bachelor;1;101 Artsen, therapeuten en gespeciali...;0;1,84
30;Job  Beelen;Job;Beelen;4-11-1944;74,36069084;74;74 jaar;De Fryske Marren;Friesland;man;;Vmbo-b/k, mbo1;0;;1;2,22
31;Koos  Krikke;Koos;Krikke;6-5-1956;62,85162951;62;62 jaar;Wijchen;Gelderland;man;Gehuwd;Basisonderwijs;0;;0;23,08
32;Britt de Bruijn;Britt;de Bruijn;28-10-1950;68,3767296;68;68 jaar;Bronckhorst;Gelderland;vrouw;Gescheiden;Hbo-, wo-bachelor;0;;0;1,42
33;Morris van de Poll;Morris;van de Poll;10-7-2000;18,64122316;18;18 jaar;Sint Anthonis;Noord-Brabant;man;Ongehuwd;Havo, vwo;0;;0;0,06
34;Lars  Kieviet;Lars;Kieviet;23-3-1953;65,97419057;65;65 jaar;Neder-Betuwe;Gelderland;man;Gehuwd;Mbo4;1;033 Verkopers;0;0,29
35;Loes  Uiterwijk;Loes;Uiterwijk;30-1-1954;65,11511986;65;65 jaar;Rotterdam;Zuid-Holland;vrouw;Gehuwd;;0;;1;3,06
36;Ruth  Glerum;Ruth;Glerum;13-9-1948;70,50084463;70;70 jaar;Landgraaf;Limburg;vrouw;Gescheiden;Havo, vwo;0;;0;8,96
37;Janna van Heteren;Janna;van Heteren;28-8-1945;73,54702013;73;73 jaar;Emmen;Drenthe;vrouw;Gehuwd;Basisonderwijs;;;1;13,07
38;Berend  Gaasbeek;Berend;Gaasbeek;12-12-1951;67,25457955;67;67 jaar;Arnhem;Gelderland;;;;;;4;1,44
39;Lisette  Pos;Lisette;Pos;17-5-1956;62,8194009;62;62 jaar;Rijssen-Holten;Overijssel;vrouw;;Mbo2 en mbo3;1;101 Artsen, therapeuten en gespeciali...;1;0,11
40;Mohamed  Dekker;Mohamed;Dekker;31-8-1959;59,52978825;59;59 jaar;Landsmeer;Noord-Holland;;;;;;4;22,04
41;Mandy  Huizinga;Mandy;Huizinga;6-9-1991;27,49290583;27;27 jaar;Hilversum;Noord-Holland;vrouw;;;;;3;0,73
42;Serena van Ewijk;Serena;van Ewijk;12-2-1965;54,07280201;54;54 jaar;Duiven;Gelderland;vrouw;Gehuwd;Havo, vwo;1;101 Artsen, therapeuten en gespeciali...;0;7,42
43;Jennifer van der Veen;Jennifer;van der Veen;25-7-1965;53,62586753;53;53 jaar;Groningen (gemeente);Groningen;;;;;;4;8,88
44;Daniek de Jonge;Daniek;de Jonge;27-2-1986;33,01852293;33;33 jaar;Westland;Zuid-Holland;vrouw;Ongehuwd;Mbo2 en mbo3;1;013 Leidsters kinderopvang en onderwi.;0;2,73
45;Liona van der Heijden;Liona;van der Heijden;26-6-1982;36,69475166;36;36 jaar;Ermelo;Gelderland;vrouw;Ongehuwd;Mbo4;1;031 Adviseurs marketing, public relat.;0;3,31
46;Priscilla van der Zee;Priscilla;van der Zee;17-5-1971;47,81178654;47;47 jaar;Tytsjerksteradiel;Friesland;vrouw;Gescheiden;Mbo4;1;103 Vakspecialisten gezondheidszorg;0;16,75
47;Numan  Bouwmeester;Numan;Bouwmeester;22-8-1942;76,56561415;76;76 jaar;Papendrecht;Zuid-Holland;;;;;;4;1,6
48;Sjoerd  Lam;Sjoerd;Lam;25-4-1966;52,87400345;52;52 jaar;Den Helder;Noord-Holland;man;Gehuwd;Mbo2 en mbo3;;;1;1,64
49;Tessel van der Roest;Tessel;van der Roest;19-12-1967;51,22327577;51;51 jaar;Beuningen;Gelderland;vrouw;;;;;3;17,4
50;Esther  Boxman;Esther;Boxman;28-10-1940;78,38292099;78;78 jaar;Halderberge;Noord-Brabant;vrouw;Gescheiden;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;3,03
51;Stan  Hummel;Stan;Hummel;25-2-1953;66,04617217;66;66 jaar;Druten;Gelderland;man;Gehuwd;;1;104 Sociaal werkers, groeps- en woonb...;1;19,26
52;Danique  Bulut;Danique;Bulut;14-11-1999;19,29647188;19;19 jaar;'s-Gravenhage (gemeente);Zuid-Holland;;;;;;4;0,04
53;Colin van Doesburg;Colin;van Doesburg;2-2-1968;51,10025311;51;51 jaar;Meierijstad;Noord-Brabant;man;Gescheiden;Vmbo-b/k, mbo1;1;072 Vakspecialisten natuur en techniek;0;2,85
54;Nelson  Visscher;Nelson;Visscher;28-10-1977;41,35692638;41;41 jaar;Leek;Groningen;;;;;;4;22,77
55;Mike  Toet;Mike;Toet;9-1-1971;48,16344032;48;48 jaar;Helmond;Noord-Brabant;man;Ongehuwd;Hbo-, wo-bachelor;0;;0;0,14
56;Gerrit  Overeem;Gerrit;Overeem;24-3-1964;54,96168088;54;54 jaar;Montfoort;Utrecht;man;Ongehuwd;Hbo-, wo-bachelor;1;051 Algemeen directeuren;0;0,17
57;Hasan  Hesen;Hasan;Hesen;11-5-1982;36,82045235;36;36 jaar;Gorinchem;Zuid-Holland;man;Ongehuwd;Mbo2 en mbo3;1;103 Vakspecialisten gezondheidszorg;0;2,1
58;Nicole de Jong;Nicole;de Jong;19-3-1972;46,97000385;46;46 jaar;Midden-Drenthe;Drenthe;vrouw;Gescheiden;Vmbo-b/k, mbo1;1;033 Verkopers;0;16,01
59;Sera  Vos;Sera;Vos;5-5-1973;45,84349703;45;45 jaar;Hellevoetsluis;Zuid-Holland;;Ongehuwd;Mbo4;0;;1;0,55
60;Rogier  Hendrikse;Rogier;Hendrikse;3-7-1978;40,67697613;40;40 jaar;'s-Gravenhage (gemeente);Zuid-Holland;man;Gescheiden;Hbo-, wo-bachelor;1;042 Vakspecialisten bedrijfsbeheer en...;0;21,49
61;Iris  Broekman;Iris;Broekman;24-9-1971;47,45706608;47;47 jaar;Amersfoort;Utrecht;;;;;;4;8,02
62;Steven  Voerman;Steven;Voerman;12-9-1954;64,50001838;64;64 jaar;Wijdemeren;Noord-Holland;man;Gehuwd;Hbo-, wo-bachelor;1;121 Bestuurders voertuigen en bediene...;0;1,64
63;Orlando  Kiliç;Orlando;Kiliç;21-10-1960;58,38659542;58;58 jaar;Gemert-Bakel;Noord-Brabant;man;Ongehuwd;Hbo-, wo-master, doctor;0;;0;2,39
64;Stan  Kwakkenbos;Stan;Kwakkenbos;4-6-1929;89,79173829;89;89 jaar;Steenwijkerland;Overijssel;man;Ongehuwd;Basisonderwijs;0;;0;2,01
65;Janske  Reurink;Janske;Reurink;28-6-1961;57,70296743;57;57 jaar;Gorinchem;Zuid-Holland;vrouw;;;1;033 Verkopers;2;1,95
66;Koen  Plugge;Koen;Plugge;9-4-1983;35,90693584;35;35 jaar;Nijkerk;Gelderland;man;Gehuwd;Mbo2 en mbo3;1;052 Managers op administratief en com...;0;17,33
67;Yannick  Roorda;Yannick;Roorda;4-1-1984;35,16975383;35;35 jaar;Harlingen;Friesland;man;Gehuwd;Mbo4;;;1;2,81
68;Paula  Zondag;Paula;Zondag;27-2-1996;23,0121014;23;23 jaar;Venray;Limburg;vrouw;Ongehuwd;Basisonderwijs;0;;0;2
69;Hein van der Zon;Hein;van der Zon;11-9-1961;57,49853058;57;57 jaar;Haarlemmermeer;Noord-Holland;man;Gehuwd;Basisonderwijs;;;1;4,04
70;Laura  Heeringa;Laura;Heeringa;18-5-1989;29,79626646;29;29 jaar;Hilversum;Noord-Holland;;Ongehuwd;Mbo4;1;104 Sociaal werkers, groeps- en woonb...;1;11,22
71;Joël  Visser;Joël;Visser;20-8-1990;28,53916909;28;28 jaar;Dronten;Flevoland;man;Ongehuwd;Havo, vwo;1;104 Sociaal werkers, groeps- en woonb...;0;1,23
72;Maaike  Schreuder;Maaike;Schreuder;15-3-1976;42,97931775;42;42 jaar;Aalten;Gelderland;;;;;;4;1,01
73;Rory  Vrede;Rory;Vrede;31-8-1938;80,54265198;80;80 jaar;Nieuwkoop;Zuid-Holland;;;;;;4;9,88
74;Jacob  Fledderus;Jacob;Fledderus;21-12-1950;68,22874929;68;68 jaar;'s-Gravenhage (gemeente);Zuid-Holland;man;;;0;;2;0,61
75;Emiel van Beers;Emiel;van Beers;4-6-1951;67,77698706;67;67 jaar;Zandvoort;Noord-Holland;man;Verweduwd;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;0,07
76;Hanane  Meijers;Hanane;Meijers;3-9-1951;67,5283743;67;67 jaar;Grootegast;Groningen;;;;;;4;2,39
77;Brechje  Groenewegen;Brechje;Groenewegen;16-3-1947;71,99838292;71;71 jaar;Woensdrecht;Noord-Brabant;vrouw;;;;;3;4,86
78;Marvin van Hoek;Marvin;van Hoek;17-3-1977;41,97368163;41;41 jaar;Rijswijk (ZH.);Zuid-Holland;;;;;;4;0,95
79;Roxanne  Alblas;Roxanne;Alblas;8-10-1931;87,44656339;87;87 jaar;Roermond;Limburg;vrouw;Gehuwd;Mbo2 en mbo3;0;;0;1,98
80;Michelle van Houwelingen;Michelle;van Houwelingen;25-5-2000;18,76755102;18;18 jaar;Noordoostpolder;Flevoland;;;Vmbo-b/k, mbo1;;;3;0,19
81;Joris  Hofhuis;Joris;Hofhuis;5-6-1942;76,77984069;76;76 jaar;Heerhugowaard;Noord-Holland;;;;;;4;0,64
82;Maaike de Waard;Maaike;de Waard;27-1-1996;23,09801171;23;23 jaar;Lochem;Gelderland;;;;;;4;4,52
83;Wilhelmus  Thoolen;Wilhelmus;Thoolen;13-1-1978;41,14715768;41;41 jaar;Rheden;Gelderland;;;;;;4;1,35
84;Aron de Koning;Aron;de Koning;4-11-1960;58,34933875;58;58 jaar;Apeldoorn;Gelderland;man;Gehuwd;Basisonderwijs;1;091 Tuinders, akkerbouwers en veetelers;0;1,08
85;Ye?im van den Berg;Ye?im;van den Berg;24-12-1959;59,21490939;59;59 jaar;Hoorn;Noord-Holland;vrouw;Gehuwd;Mbo2 en mbo3;0;;0;2,22
86;Teunis  Jonker;Teunis;Jonker;14-5-1961;57,82527325;57;57 jaar;Albrandswaard;Zuid-Holland;man;Gehuwd;Hbo-, wo-master, doctor;1;063 Beveiligingswerkers;0;2,89
87;Maria  Brouwer;Maria;Brouwer;16-2-1934;85,08435088;85;85 jaar;Voorschoten;Zuid-Holland;vrouw;Verweduwd;Vmbo-b/k, mbo1;0;;0;1
88;Willem van der Veen;Willem;van der Veen;21-10-1956;62,38919653;62;62 jaar;Heerenveen;Friesland;man;Gehuwd;Mbo4;0;;0;2,8
89;Mostafa de Vries;Mostafa;de Vries;30-4-1960;58,86432971;58;58 jaar;Neder-Betuwe;Gelderland;man;Gehuwd;Hbo-, wo-master, doctor;1;051 Algemeen directeuren;0;2,02
90;Robbert  Meulenberg;Robbert;Meulenberg;1-4-1960;58,94288962;58;58 jaar;Someren;Noord-Brabant;man;Gescheiden;;;;2;2,6
91;Julian  Homan;Julian;Homan;23-5-1986;32,78432691;32;32 jaar;Rotterdam;Zuid-Holland;;;;;;4;14,21
92;Stefan  Marsman;Stefan;Marsman;1-2-2001;18,07847486;18;18 jaar;Kampen;Overijssel;man;Ongehuwd;Mbo2 en mbo3;1;122 Hulpkrachten transport en logistiek;0;0,08
93;Kaoutar  Liu;Kaoutar;Liu;28-3-1982;36,94068057;36;36 jaar;Stadskanaal;Groningen;vrouw;Gehuwd;Mbo2 en mbo3;1;131 Beroepssegment overig;0;2
94;Tamara  Vooijs;Tamara;Vooijs;4-3-1940;79,03422615;79;79 jaar;Hardenberg;Overijssel;vrouw;Verweduwd;Mbo2 en mbo3;0;;0;15,76
95;Marjolein  Frijns;Marjolein;Frijns;5-9-1969;49,50708164;49;49 jaar;Blaricum;Noord-Holland;;;;;;4;17,45
96;Froukje den Ouden;Froukje;den Ouden;26-10-1977;41,36225064;41;41 jaar;Lansingerland;Zuid-Holland;vrouw;Gescheiden;Hbo-, wo-bachelor;1;104 Sociaal werkers, groeps- en woonb...;0;3,14
97;Dennis  Osman;Dennis;Osman;21-6-1970;48,71707231;48;48 jaar;Arnhem;Gelderland;;;;;;4;3,43
98;Jochem  Jochems;Jochem;Jochems;29-8-1982;36,51828314;36;36 jaar;Rotterdam;Zuid-Holland;;;;;;4;2,05
99;Sophie  Boelhouwer;Sophie;Boelhouwer;8-3-1979;39,99782404;39;39 jaar;Delft;Zuid-Holland;;;;;;4;20,87
100;Wendy  Hilderink;Wendy;Hilderink;12-10-1981;37,39759937;37;37 jaar;Aa en Hunze;Drenthe;;Ongehuwd;;1;101 Artsen, therapeuten en gespeciali...;2;17,11
101;Pleun  Blauw;Pleun;Blauw;30-9-1983;35,4311344;35;35 jaar;Heerlen;Limburg;;;;;;4;16,85
102;Sinan  Westra;Sinan;Westra;14-8-1978;40,56430759;40;40 jaar;Culemborg;Gelderland;man;Ongehuwd;Hbo-, wo-bachelor;1;011 Docenten;0;1
103;Ruben  Kars;Ruben;Kars;14-1-1969;50,15021342;50;50 jaar;Heemskerk;Noord-Holland;man;Gehuwd;Hbo-, wo-master, doctor;1;013 Leidsters kinderopvang en onderwi.;0;0,25
104;Dagmar van Veen;Dagmar;van Veen;20-8-1968;50,55288322;50;50 jaar;Coevorden;Drenthe;;;;;;4;1,07
105;Safiera van Dijk;Safiera;van Dijk;4-5-1972;46,84463308;46;46 jaar;Zaanstad;Noord-Holland;vrouw;Ongehuwd;Hbo-, wo-bachelor;1;077 Productiemachinebedieners en asse...;0;1,52
106;Stijn  Zijderveld;Stijn;Zijderveld;19-1-1974;45,13235175;45;45 jaar;Oss;Noord-Brabant;man;Ongehuwd;Mbo2 en mbo3;1;074 Metaalarbeiders, machinemonteurs;0;0,9
107;Kalle van Dijke;Kalle;van Dijke;8-2-1964;55,08645601;55;55 jaar;Roosendaal;Noord-Brabant;;;;1;055 Managers z.n.d.;3;2,01
108;Jim  Wildenberg;Jim;Wildenberg;13-12-1967;51,24054901;51;51 jaar;Landgraaf;Limburg;man;Gehuwd;;;;2;2,83
109;Adriana  Konings;Adriana;Konings;19-12-1954;64,23022869;64;64 jaar;Amsterdam;Noord-Holland;;;;;;4;2,12
110;Josina  Brouwer;Josina;Brouwer;11-3-1982;36,98684754;36;36 jaar;'s-Gravenhage (gemeente);Zuid-Holland;;;;;;4;0,08
111;Mariam  Buurma;Mariam;Buurma;18-5-1944;74,82681717;74;74 jaar;Heerenveen;Friesland;;;;;;4;15,01
112;Charlotte  Thakoer;Charlotte;Thakoer;17-12-1988;30,21147856;30;30 jaar;Eersel;Noord-Brabant;vrouw;;;;;3;3,04
113;Mark  Westerlaken;Mark;Westerlaken;29-5-1978;40,77366013;40;40 jaar;Súdwest-Fryslân;Friesland;;;;;;4;1,64
114;Petrus  Wildeboer;Petrus;Wildeboer;28-4-1970;48,86510948;48;48 jaar;Oldambt;Groningen;;;Mbo2 en mbo3;;;3;18,82
115;Adriaan  Janssen;Adriaan;Janssen;13-5-1953;65,83328362;65;65 jaar;Enschede;Overijssel;;;;;;4;21,52
116;Mark  Brouwer;Mark;Brouwer;10-8-1947;71,59642105;71;71 jaar;Utrecht (gemeente);Utrecht;;;;;;4;9,68
117;Fleur van der Burgh;Fleur;van der Burgh;17-12-1969;49,22646584;49;49 jaar;Tiel;Gelderland;vrouw;Ongehuwd;Hbo-, wo-bachelor;1;041 Specialisten bedrijfsbeheer en ad.;0;1,35
118;Pieter van Hoof;Pieter;van Hoof;14-12-1992;26,21750901;26;26 jaar;Amsterdam;Noord-Holland;;;;;;4;7,64
119;Elmar  Verstappen;Elmar;Verstappen;27-10-1987;31,35579826;31;31 jaar;Maastricht;Limburg;man;Gehuwd;;1;041 Specialisten bedrijfsbeheer en ad.;1;2,24
120;Chantal de Haan;Chantal;de Haan;4-10-1953;65,43865429;65;65 jaar;Hendrik-Ido-Ambacht;Zuid-Holland;vrouw;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;2,61
121;Deniz  Jansen;Deniz;Jansen;3-8-1974;44,59670404;44;44 jaar;Leeuwarden;Friesland;anders;Ongehuwd;Havo, vwo;1;043 Administratief personeel;0;8,48
122;Wendy  Vonk;Wendy;Vonk;3-4-1982;36,92598252;36;36 jaar;Goes;Zeeland;vrouw;Gehuwd;Mbo4;1;013 Leidsters kinderopvang en onderwi.;0;0,57
123;Max  Drost;Max;Drost;20-5-1940;78,82339507;78;78 jaar;Uithoorn;Noord-Holland;man;Gehuwd;;0;;1;2,86
124;Bob  Franke;Bob;Franke;20-12-1947;71,23292439;71;71 jaar;Kerkrade;Limburg;man;Gehuwd;Mbo2 en mbo3;0;;0;16,98
125;Maureen  Rikkers;Maureen;Rikkers;5-4-2000;18,90523768;18;18 jaar;Borne;Overijssel;vrouw;Ongehuwd;Hbo-, wo-master, doctor;1;042 Vakspecialisten bedrijfsbeheer en...;0;0,33
126;Jeffrey de Groot;Jeffrey;de Groot;30-3-1982;36,93651115;36;36 jaar;Hilversum;Noord-Holland;man;Ongehuwd;Hbo-, wo-master, doctor;1;121 Bestuurders voertuigen en bediene...;0;0,88
127;Deborah  Pannekoek;Deborah;Pannekoek;21-6-1969;49,71769297;49;49 jaar;Olst-Wijhe;Overijssel;vrouw;Gehuwd;Vmbo-b/k, mbo1;1;031 Adviseurs marketing, public relat.;0;6,02
128;Fin  Odink;Fin;Odink;11-12-1976;42,2367593;42;42 jaar;Emmen;Drenthe;;;;;;4;3,14
129;Hugo  Bos;Hugo;Bos;16-10-1947;71,41142991;71;71 jaar;Westland;Zuid-Holland;man;Gehuwd;Mbo2 en mbo3;0;;0;2,87
130;Jenneke  Klepper;Jenneke;Klepper;7-11-1973;45,33399815;45;45 jaar;Wijchen;Gelderland;vrouw;Gehuwd;Basisonderwijs;0;;0;1,11
131;Joany  Mosch;Joany;Mosch;4-8-1937;81,61690075;81;81 jaar;Helmond;Noord-Brabant;vrouw;Verweduwd;Mbo2 en mbo3;0;;0;2,81
132;Han  Lenten;Han;Lenten;22-6-1959;59,72070973;59;59 jaar;Landgraaf;Limburg;;;;;;4;1,64
133;Pascal  Willemsen;Pascal;Willemsen;26-11-1960;58,28922069;58;58 jaar;Zevenaar;Gelderland;man;;;;;3;1,61
134;Sara  Alberts;Sara;Alberts;2-7-1962;56,69145749;56;56 jaar;Son en Breugel;Noord-Brabant;vrouw;Gehuwd;Mbo2 en mbo3;0;;0;1,08
135;Hanim  Blom;Hanim;Blom;26-8-1988;30,52185368;30;30 jaar;Amsterdam;Noord-Holland;vrouw;Ongehuwd;Hbo-, wo-master, doctor;1;104 Sociaal werkers, groeps- en woonb...;0;11,94
136;Louise  Ceelen;Louise;Ceelen;18-5-1992;26,79191345;26;26 jaar;Landsmeer;Noord-Holland;;;;;;4;8,21
137;Robin van Heusden;Robin;van Heusden;12-9-1941;77,50722362;77;77 jaar;Montferland;Gelderland;vrouw;;Basisonderwijs;0;;1;1,1
138;Michelle  Bijen;Michelle;Bijen;29-12-1963;55,19744178;55;55 jaar;Nuenen, Gerwen en Nederwetten;Noord-Brabant;vrouw;Ongehuwd;Mbo4;1;112 Schoonmakers en keukenhulpen;0;0,92
139;Inez van den Eijnden;Inez;van den Eijnden;8-2-2001;18,05933048;18;18 jaar;Amsterdam;Noord-Holland;vrouw;;;0;;2;0,06
140;Richella van der Linde;Richella;van der Linde;5-9-1989;29,49521815;29;29 jaar;Texel;Noord-Holland;vrouw;Ongehuwd;Hbo-, wo-master, doctor;1;101 Artsen, therapeuten en gespeciali...;0;3,23
141;Candy  Boonstra;Candy;Boonstra;17-5-1988;30,79814972;30;30 jaar;Capelle aan den IJssel;Zuid-Holland;vrouw;Ongehuwd;Hbo-, wo-bachelor;1;033 Verkopers;0;12,22
142;Willeke  Medema;Willeke;Medema;9-12-1991;27,23322332;27;27 jaar;Hollands Kroon;Noord-Holland;;;Hbo-, wo-bachelor;;;3;2,62
143;Nando  Peters;Nando;Peters;18-1-1993;26,12215255;26;26 jaar;Hoogeveen;Drenthe;man;;Mbo4;;;2;1,64
144;Abdelkarim van Diest;Abdelkarim;van Diest;4-3-1960;59,01990147;59;59 jaar;Overbetuwe;Gelderland;man;Gehuwd;Mbo4;1;121 Bestuurders voertuigen en bediene...;0;0,73
145;Jorijn van der Meulen;Jorijn;van der Meulen;22-1-1972;47,1266926;47;47 jaar;Alphen-Chaam;Noord-Brabant;vrouw;Ongehuwd;Mbo4;;;1;1,7
146;Vince  Brandt;Vince;Brandt;13-10-1969;49,40423305;49;49 jaar;Goes;Zeeland;;;;;;4;7,85
147;Tim van Vliet;Tim;van Vliet;12-6-1998;20,7205852;20;20 jaar;Winterswijk;Gelderland;man;;;;;3;2,14
148;Harmke  Zwaan;Harmke;Zwaan;5-3-1979;40,00600595;40;40 jaar;Hilversum;Noord-Holland;vrouw;;;;;3;2,3
149;Alexander  Zwaan;Alexander;Zwaan;2-7-1980;38,67818424;38;38 jaar;Den Helder;Noord-Holland;man;Gehuwd;Hbo-, wo-bachelor;1;043 Administratief personeel;0;6,96
150;Regina  Huisman;Regina;Huisman;10-2-1967;52,07772756;52;52 jaar;Diemen;Noord-Holland;vrouw;Ongehuwd;Hbo-, wo-bachelor;1;013 Leidsters kinderopvang en onderwi.;0;13,01
151;Esmée  Vos;Esmée;Vos;15-7-1999;19,63171507;19;19 jaar;Kaag en Braassem;Zuid-Holland;;;;;;4;0,93
152;Lola de Winter;Lola;de Winter;12-10-1955;63,41772307;63;63 jaar;Schiedam;Zuid-Holland;vrouw;;Vmbo-g/t, havo-, vwo-onderbouw;0;;1;2,39
153;Jeffrey van Dijk;Jeffrey;van Dijk;14-2-1957;62,07296764;62;62 jaar;Tynaarlo;Drenthe;man;Gehuwd;;1;104 Sociaal werkers, groeps- en woonb...;1;1,64
154;Robertus  Geurts;Robertus;Geurts;31-1-1956;63,11305097;63;63 jaar;Breda;Noord-Brabant;man;Gehuwd;Mbo4;0;;0;10,13
155;Lilith  Ypma;Lilith;Ypma;18-8-1981;37,55002842;37;37 jaar;'s-Gravenhage (gemeente);Zuid-Holland;vrouw;Ongehuwd;Hbo-, wo-bachelor;1;041 Specialisten bedrijfsbeheer en ad.;0;1,14
156;Stefan  Scheffer;Stefan;Scheffer;24-9-1988;30,44297317;30;30 jaar;Tynaarlo;Drenthe;man;;;1;081 Specialisten ICT;2;3,14
157;Geertruida  Ram;Geertruida;Ram;13-3-1988;30,97627499;30;30 jaar;Rotterdam;Zuid-Holland;vrouw;Ongehuwd;Mbo2 en mbo3;1;105 Verzorgenden;0;12,4
